epoch;loss;val_loss;cer;time
000;133.296;139.507;0.780;3260.038
001;125.060;130.794;0.905;3248.235
002;121.374;117.341;0.797;3249.889
003;123.018;153.906;1.000;3254.294
004;128.110;123.748;0.851;3253.600
005;123.140;120.606;0.732;3256.949
006;121.930;123.705;0.755;3254.332
007;123.110;173.426;0.985;3255.923
008;118.138;114.779;0.772;3253.351
009;112.940;109.366;0.714;3254.554
010;109.359;107.752;0.686;3252.554
011;106.937;135.135;0.750;3253.820
012;103.800;99.898;0.644;3256.845
013;101.859;125.736;0.717;3257.831
014;99.880;112.231;0.770;3256.078
015;100.828;97.786;0.619;3254.373
016;98.457;93.195;0.634;3253.364
017;97.153;92.947;0.646;3255.966
018;95.213;92.113;0.607;3254.602
019;96.925;138.875;0.778;3240.535
020;94.540;89.721;0.592;3148.884
021;93.900;89.533;0.619;3146.054
022;93.935;86.506;0.591;3144.644
023;95.246;87.500;0.591;3143.918
024;89.494;85.097;0.590;3144.577
025;90.341;129.613;0.738;3144.079
026;86.962;83.823;0.566;3142.654
027;86.018;82.081;0.569;3144.531
028;85.076;83.480;0.579;3143.317
029;85.722;92.285;0.619;3145.275
030;86.052;86.472;0.572;3144.875
