epoch;loss;time;cer
000;137.949;832.091;1.000
001;127.096;1665.552;0.828
002;105.758;1838.827;0.721
003;92.825;1864.772;0.690
004;83.707;1531.463;0.686
005;75.722;921.836;0.561
006;69.694;1312.587;0.595
007;64.816;1300.250;0.665
008;60.951;1331.036;0.580
009;57.655;1328.121;0.631
010;54.903;1767.160;0.565
011;52.413;2770.994;0.680
012;50.367;1328.225;0.571
013;48.402;1330.459;0.536
014;46.729;1713.005;0.566
015;45.047;1293.628;0.699
016;43.662;1452.125;0.631
017;42.297;1341.196;0.625
018;41.028;3273.757;0.644
019;39.838;3523.669;0.666
020;38.949;2941.288;0.697
021;37.825;1430.204;0.652
022;36.929;1594.918;0.647
