epoch;loss;time;cer
000;139.987;412.008;0.996
001;133.776;423.779;1.000
002;131.794;609.028;0.854
003;115.544;686.656;0.803
004;104.062;698.482;0.785
005;97.163;693.200;0.752
006;90.435;1708.617;0.662
007;85.014;1988.477;0.642
008;81.015;1918.543;0.642
009;77.570;1940.161;0.625
010;74.728;1988.041;0.590
011;72.144;1936.958;0.560
012;69.954;1953.877;0.547
013;67.871;1931.801;0.556
014;65.979;1990.752;0.560
015;64.351;1978.652;0.566
016;62.606;1440.279;0.546
017;61.230;423.744;0.529
018;59.936;499.017;0.541
019;58.468;420.107;0.555
020;57.249;461.390;0.528
021;56.092;422.403;0.522
022;55.144;422.106;0.534
023;54.342;423.051;0.546
024;53.241;473.138;0.539
025;52.350;425.964;0.536
026;51.544;434.389;0.553
027;50.634;439.700;0.522
028;49.917;467.484;0.561
029;49.173;443.337;0.546
030;48.458;1657.159;0.559
031;47.781;1996.306;0.572
032;47.134;854.488;0.555
033;46.605;425.990;0.545
034;45.868;430.353;0.535
035;45.376;427.528;0.548
036;44.774;426.537;0.596
037;44.302;429.224;0.584
038;43.667;426.667;0.557
039;43.287;504.177;0.565
040;42.741;1046.208;0.594
041;42.452;2090.815;0.600
042;41.812;2050.581;0.567
043;41.397;2067.600;0.587
044;40.953;2099.603;0.587
045;40.576;2074.654;0.593
046;40.217;2072.290;0.625
047;39.786;2036.437;0.635
048;39.394;1902.479;0.624
049;38.853;1867.545;0.616
050;38.655;1818.854;0.630
051;38.288;1892.859;0.622
052;38.046;1860.379;0.609
053;37.633;1889.692;0.616
054;37.839;1887.625;0.622
