epoch;loss;val_loss;cer;time
000;122.969;87.643;0.597;707.321
001;75.058;54.580;0.370;696.376
002;55.413;38.124;0.250;695.966
003;43.499;29.458;0.187;688.781
004;35.923;24.840;0.157;673.548
005;30.828;23.262;0.145;673.910
006;27.042;20.102;0.124;673.917
007;24.059;18.673;0.112;674.067
008;21.809;17.797;0.106;673.843
009;19.702;17.046;0.100;674.426
010;18.174;16.316;0.094;674.444
011;16.743;16.490;0.093;674.507
012;15.533;15.741;0.090;674.490
013;14.393;15.349;0.085;674.866
014;13.510;15.214;0.083;674.577
015;12.602;15.521;0.082;674.052
016;11.874;15.022;0.079;674.750
017;11.168;15.336;0.080;674.620
018;10.617;15.399;0.079;674.367
019;10.006;15.039;0.078;674.309
020;9.578;15.377;0.076;674.561
021;9.022;15.470;0.075;674.507
022;8.558;15.262;0.077;674.408
023;8.241;15.107;0.073;673.880
024;7.839;15.194;0.073;674.453
025;7.570;15.816;0.074;674.084
026;7.268;15.315;0.072;673.810
027;6.971;15.358;0.072;674.238
028;6.717;16.223;0.077;674.224
029;6.485;15.322;0.070;674.505
030;6.228;15.513;0.071;674.513
031;6.048;15.876;0.069;674.347
032;5.799;15.745;0.069;674.344
033;5.745;15.762;0.069;674.039
034;5.530;16.343;0.069;674.340
035;5.331;16.526;0.068;674.425
036;5.259;16.049;0.069;674.047
037;5.115;16.108;0.067;674.378
038;4.922;15.767;0.066;674.567
039;4.903;16.086;0.067;674.916
040;4.794;16.509;0.069;674.555
041;4.555;15.696;0.066;674.827
042;4.563;16.207;0.067;674.553
043;4.541;16.490;0.067;674.880
044;4.260;16.047;0.065;674.844
045;4.095;16.202;0.067;674.299
046;4.363;16.242;0.066;673.836
047;3.974;16.330;0.065;674.589
048;4.421;16.270;0.066;674.335
049;3.885;16.863;0.067;674.442
050;3.759;16.926;0.067;673.964
051;3.776;16.795;0.066;674.705
052;3.882;16.704;0.066;673.771
053;3.543;16.845;0.067;674.422
054;3.572;16.891;0.066;673.993
055;3.506;17.047;0.066;674.035
056;3.438;16.878;0.065;674.293
057;3.355;17.071;0.065;675.300
058;3.374;17.783;0.067;678.347
059;3.235;16.871;0.064;675.067
