epoch;loss;val_loss;cer;time
000;108.957;95.833;0.621;7444.304
001;96.802;95.514;0.658;7425.114
002;94.853;92.159;0.614;7403.824
003;91.799;89.379;0.599;7403.778
004;88.261;92.717;0.604;7414.232
005;88.039;85.210;0.567;7614.885
006;85.155;82.539;0.555;7670.343
007;82.503;80.604;0.538;7395.935
008;80.128;78.824;0.525;7345.786
009;78.425;77.448;0.515;7344.394
010;77.393;80.337;0.510;7342.719
011;75.300;74.657;0.493;7341.611
012;75.230;75.908;0.483;7342.029
013;73.702;73.631;0.473;7340.651
014;72.635;73.313;0.469;7340.208
015;71.607;75.341;0.478;7340.749
016;70.252;74.677;0.466;7343.117
