epoch;loss;val_loss;cer;time
000;136.923;135.593;1.000;832.279
001;127.488;109.237;0.803;828.848
002;99.270;86.914;0.547;828.536
003;83.103;71.543;0.464;829.256
004;73.352;70.044;0.403;831.283
005;65.839;54.227;0.355;830.743
006;59.506;49.290;0.304;830.142
007;54.068;44.297;0.268;830.656
008;49.213;39.965;0.241;829.879
009;45.495;38.016;0.226;831.116
010;42.223;34.116;0.204;830.960
011;39.345;33.714;0.192;828.167
012;37.206;32.643;0.181;829.647
013;34.728;32.588;0.173;829.561
014;32.816;28.969;0.167;830.154
015;31.013;27.432;0.155;830.440
016;29.653;27.726;0.153;828.747
017;28.144;27.659;0.150;830.653
018;27.073;26.176;0.142;830.954
019;25.612;25.975;0.141;831.479
020;24.640;25.873;0.141;830.151
021;23.655;24.571;0.132;827.931
022;22.628;24.707;0.133;829.908
023;21.961;26.995;0.130;829.411
024;21.371;28.843;0.134;829.315
025;20.343;25.926;0.127;829.942
026;19.617;24.975;0.130;827.616
027;18.995;24.249;0.128;827.691
028;18.429;24.399;0.128;827.811
029;17.680;24.008;0.122;828.316
030;17.472;23.732;0.120;828.126
031;17.020;24.902;0.128;829.462
032;16.700;23.903;0.117;828.796
033;16.034;23.281;0.114;829.717
034;15.988;22.927;0.113;829.623
035;15.044;23.366;0.116;830.605
036;15.164;23.667;0.118;829.515
037;14.789;24.295;0.121;830.587
038;14.237;22.720;0.112;830.486
039;13.555;23.311;0.115;829.559
040;13.337;24.023;0.113;830.178
041;13.186;23.372;0.114;829.255
042;12.751;22.528;0.110;830.618
043;12.654;23.178;0.108;831.330
044;12.284;22.886;0.109;830.953
045;12.105;23.442;0.107;830.815
046;11.931;24.667;0.113;832.715
047;11.561;22.848;0.105;833.075
048;11.166;25.439;0.115;832.337
049;11.277;23.424;0.108;833.816
