epoch;loss;val_loss;cer;time
000;137.211;136.145;1.000;842.468
001;122.576;128.016;0.786;839.782
002;90.785;76.760;0.503;840.221
003;73.178;122.357;0.581;840.576
004;62.228;49.446;0.310;840.882
005;54.702;44.326;0.273;840.193
006;49.463;39.605;0.239;840.039
007;45.529;37.305;0.219;840.738
008;42.163;34.745;0.210;840.178
009;39.341;32.043;0.189;839.387
010;37.001;32.105;0.181;840.157
011;35.197;28.778;0.167;840.508
012;33.412;29.187;0.165;840.191
013;31.814;27.187;0.158;840.087
014;30.574;29.435;0.150;839.785
015;29.198;26.905;0.143;840.581
016;27.918;24.771;0.139;840.349
