epoch;loss;time;cer
000;137.285;856.262;1.000
001;127.994;856.032;0.772
002;98.243;856.405;0.562
003;80.009;856.175;0.411
004;67.381;856.143;0.334
005;58.806;855.577;0.289
006;52.754;856.006;0.253
007;48.469;854.882;0.237
008;44.754;855.886;0.211
009;41.676;857.046;0.197
010;39.154;856.372;0.190
011;37.173;855.320;0.184
012;35.677;855.795;0.175
013;33.828;855.071;0.166
014;32.470;854.756;0.162
015;31.006;854.027;0.152
016;30.301;854.880;0.154
017;28.960;855.776;0.146
018;27.880;855.572;0.139
019;26.875;855.780;0.137
020;25.980;854.773;0.133
021;25.130;855.398;0.131
022;24.638;855.526;0.130
023;23.990;855.923;0.127
024;23.243;857.763;0.125
025;22.531;857.245;0.121
026;21.979;858.578;0.123
027;21.527;857.606;0.119
028;21.225;857.963;0.115
029;20.471;857.571;0.118
030;20.102;856.161;0.113
031;19.762;856.767;0.118
032;19.155;854.839;0.114
033;18.558;855.777;0.116
034;18.296;854.806;0.116
035;18.111;854.547;0.143
036;18.595;856.095;0.107
037;17.785;856.292;0.109
038;17.221;855.493;0.107
039;16.863;854.194;0.104
040;16.489;856.237;0.103
