epoch;loss;time;cer
000;135.864;3193.746;1.000
001;127.503;3244.174;0.939
002;128.470;3191.037;0.990
003;127.957;3154.461;0.934
004;127.502;3290.611;0.772
005;125.114;3327.051;0.777
006;122.991;3323.448;0.793
007;118.051;3375.484;0.921
008;112.565;3753.310;0.949
009;108.569;4462.831;0.969
010;112.274;4494.848;0.896
011;123.221;4289.540;0.733
012;126.746;4474.484;0.960
013;121.525;4133.522;0.901
014;118.717;4436.706;0.912
015;113.991;4322.095;0.893
016;122.986;4175.845;0.909
017;124.395;4333.845;0.803
018;126.822;4245.368;0.862
019;125.562;4421.703;0.909
020;128.704;4562.500;0.946
021;128.461;4688.650;0.953
022;129.045;4499.874;0.877
023;130.594;4410.128;0.981
024;133.107;4324.655;0.985
025;133.558;4377.979;0.973
